hex,Poblacion,PCA,area_m2,Densidad_ha,NSE_5,NSE_3,hex_o,AllTrips_AvgTravelTimeAll_tpubl,AllTrips_AvgTravelTimeAll_tpubl_w,AllTrips_AvgTransfersAll_tpubl,AllTrips_AvgTransfersAll_tpubl_w,AllTrips_AvgTravelTimeAll_car,AllTrips_AvgTravelTimeAll_car_w,AllTrips_TravelTimeDowntown_tpubl,AllTrips_AvgTransfersDowntown_tpubl,AllTrips_TravelTimeDowntown_car,AllTrips_DistanceDowntown_car,AllTrips_TravelTimeDowntown_Difference,rate_tp_car_all,rate_tp_car_Downtown,AllTrips_walk_to_bus_origin_meters_w,AllTrips_walk_to_bus_total_meters_w,EsVe_Area_verdes_ha_2km,EsVe_Area_verdes_ha_800mts,EducInicPriv_QtAvgEst2km,EducInicPriv_QtAvgEst800mts,EducInicPriv_QtAvgEst1500mts,EducInicPriv_AvgTime_bus,EducInicPriv_AvgTime_walk,EducInicPubl_QtAvgEst2km,EducInicPubl_QtAvgEst800mts,EducInicPubl_QtAvgEst1500mts,EducInicPubl_AvgTime_bus,EducInicPubl_AvgTime_walk,EducPrimPriv_QtAvgEst2km,EducPrimPriv_QtAvgEst800mts,EducPrimPriv_QtAvgEst1500mts,EducPrimPriv_AvgTime_bus,EducPrimPriv_AvgTime_walk,EducPrimPubl_QtAvgEst2km,EducPrimPubl_QtAvgEst800mts,EducPrimPubl_QtAvgEst1500mts,EducPrimPubl_AvgTime_bus,EducPrimPubl_AvgTime_walk,EducSecuPriv_QtAvgEst2km,EducSecuPriv_QtAvgEst800mts,EducSecuPriv_QtAvgEst1500mts,EducSecuPriv_AvgTime_bus,EducSecuPriv_AvgTime_walk,EducSecuPubl_QtAvgEst2km,EducSecuPubl_QtAvgEst800mts,EducSecuPubl_QtAvgEst1500mts,EducSecuPubl_AvgTime_bus,EducSecuPubl_AvgTime_walk,SaluAtenPrim_QtAvgEst2km,SaluAtenPrim_QtAvgEst800mts,SaluAtenPrim_QtAvgEst1500mts,SaluAtenPrim_AvgTime_bus,SaluAtenPrim_AvgTime_walk,SaluHosp_QtAvgEst2km,SaluHosp_QtAvgEst800mts,SaluHosp_QtAvgEst1500mts,SaluHosp_AvgTime_bus,SaluHosp_AvgTime_walk,IndiAcce,Verde_m2habitante800m,Verde_m2habitante1500m,Verde_m2habitante2000m,city
8966e4289b7ffff,1477.0,-3.8881632315419257,109517.0,134.9,1 - Alto,1 - Alto,8866e4289bfffff,54.35,44.09,0.93,0.75,30.17,22.97,42.0,1.0,24.3,7.86,17.7,1.92,1.73,579.5582948802461,985.8092287409361,24.7,14.0,55.0,6.0,31.0,2.0,2.4,0.0,0.0,0.0,16.0,54.7,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,18.0,52.4,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,16.0,54.7,0.0,0.0,0.0,19.0,37.2,19.0,1.0,10.0,8.0,8.0,2. Media Alta,3.5308546044867963,3.76732589576029,3.8971978813381796,Bogotá
8966e4289b3ffff,1505.0,-3.7706671659346287,109517.0,137.4,1 - Alto,1 - Alto,8866e4289bfffff,54.35,44.09,0.93,0.75,30.17,22.97,42.0,1.0,24.3,7.86,17.7,1.92,1.73,579.5582948802461,985.8092287409361,24.7,14.0,55.0,6.0,31.0,2.0,2.4,0.0,0.0,0.0,16.0,54.7,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,18.0,52.4,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,16.0,54.7,0.0,0.0,0.0,19.0,37.2,19.0,1.0,10.0,8.0,8.0,2. Media Alta,3.5308546044867963,3.76732589576029,3.8971978813381796,Bogotá
8966e4289a7ffff,1364.0,-3.760291666986273,109522.0,124.5,1 - Alto,1 - Alto,8866e4289bfffff,54.35,44.09,0.93,0.75,30.17,22.97,42.0,1.0,24.3,7.86,17.7,1.92,1.73,579.5582948802461,985.8092287409361,24.7,14.0,55.0,6.0,31.0,2.0,2.4,0.0,0.0,0.0,16.0,54.7,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,18.0,52.4,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,16.0,54.7,0.0,0.0,0.0,19.0,37.2,19.0,1.0,10.0,8.0,8.0,2. Media Alta,3.5308546044867963,3.76732589576029,3.8971978813381796,Bogotá
8966e4289a3ffff,1380.0,-3.755640490000612,109522.0,126.0,1 - Alto,1 - Alto,8866e4289bfffff,54.35,44.09,0.93,0.75,30.17,22.97,42.0,1.0,24.3,7.86,17.7,1.92,1.73,579.5582948802461,985.8092287409361,24.7,14.0,55.0,6.0,31.0,2.0,2.4,0.0,0.0,0.0,16.0,54.7,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,18.0,52.4,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,16.0,54.7,0.0,0.0,0.0,19.0,37.2,19.0,1.0,10.0,8.0,8.0,2. Media Alta,3.5308546044867963,3.76732589576029,3.8971978813381796,Bogotá
8966e4289bbffff,1232.0,-3.7050803732520277,109522.0,112.5,1 - Alto,1 - Alto,8866e4289bfffff,54.35,44.09,0.93,0.75,30.17,22.97,42.0,1.0,24.3,7.86,17.7,1.92,1.73,579.5582948802461,985.8092287409361,24.7,14.0,55.0,6.0,31.0,2.0,2.4,0.0,0.0,0.0,16.0,54.7,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,18.0,52.4,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,16.0,54.7,0.0,0.0,0.0,19.0,37.2,19.0,1.0,10.0,8.0,8.0,2. Media Alta,3.5308546044867963,3.76732589576029,3.8971978813381796,Bogotá
8966e4289afffff,1229.0,-3.6936500942286408,109527.0,112.2,1 - Alto,1 - Alto,8866e4289bfffff,54.35,44.09,0.93,0.75,30.17,22.97,42.0,1.0,24.3,7.86,17.7,1.92,1.73,579.5582948802461,985.8092287409361,24.7,14.0,55.0,6.0,31.0,2.0,2.4,0.0,0.0,0.0,16.0,54.7,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,18.0,52.4,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,16.0,54.7,0.0,0.0,0.0,19.0,37.2,19.0,1.0,10.0,8.0,8.0,2. Media Alta,3.5308546044867963,3.76732589576029,3.8971978813381796,Bogotá
8966e4289abffff,1440.0,-3.5951242118037814,109527.0,131.5,1 - Alto,1 - Alto,8866e4289bfffff,54.35,44.09,0.93,0.75,30.17,22.97,42.0,1.0,24.3,7.86,17.7,1.92,1.73,579.5582948802461,985.8092287409361,24.7,14.0,55.0,6.0,31.0,2.0,2.4,0.0,0.0,0.0,16.0,54.7,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,18.0,52.4,7.0,1.0,2.0,5.0,5.2,0.0,0.0,0.0,16.0,54.7,0.0,0.0,0.0,19.0,37.2,19.0,1.0,10.0,8.0,8.0,2. Media Alta,3.5308546044867963,3.76732589576029,3.8971978813381796,Bogotá
8966e42d62fffff,1564.0,-3.871096430290936,109577.0,142.7,1 - Alto,1 - Alto,8866e42d63fffff,47.41,32.46,0.5,0.25,32.32,22.98,23.0,0.0,21.47,5.16,1.53,1.41,1.07,264.13767134941594,868.6825076258042,23.8,5.5,11.0,2.0,9.0,7.0,7.2,1.0,0.0,1.0,14.0,19.6,16.0,2.0,6.0,2.0,2.4,3.0,0.0,1.0,12.0,45.5,16.0,2.0,6.0,2.0,2.4,3.0,0.0,1.0,12.0,45.5,2.0,0.0,2.0,16.0,30.5,11.0,2.0,6.0,0.0,0.1,2. Media Alta,3.5144578828587036,2.7233704205316123,1.9351394141781617,Bogotá
8966e42d623ffff,1004.0,-3.614728789572767,109572.0,91.6,1 - Alto,1 - Alto,8866e42d63fffff,47.41,32.46,0.5,0.25,32.32,22.98,23.0,0.0,21.47,5.16,1.53,1.41,1.07,264.13767134941594,868.6825076258042,23.8,5.5,11.0,2.0,9.0,7.0,7.2,1.0,0.0,1.0,14.0,19.6,16.0,2.0,6.0,2.0,2.4,3.0,0.0,1.0,12.0,45.5,16.0,2.0,6.0,2.0,2.4,3.0,0.0,1.0,12.0,45.5,2.0,0.0,2.0,16.0,30.5,11.0,2.0,6.0,0.0,0.1,2. Media Alta,3.5144578828587036,2.7233704205316123,1.9351394141781617,Bogotá
8966e42d627ffff,1399.0,-3.5486440388605884,109572.0,127.7,1 - Alto,1 - Alto,8866e42d63fffff,47.41,32.46,0.5,0.25,32.32,22.98,23.0,0.0,21.47,5.16,1.53,1.41,1.07,264.13767134941594,868.6825076258042,23.8,5.5,11.0,2.0,9.0,7.0,7.2,1.0,0.0,1.0,14.0,19.6,16.0,2.0,6.0,2.0,2.4,3.0,0.0,1.0,12.0,45.5,16.0,2.0,6.0,2.0,2.4,3.0,0.0,1.0,12.0,45.5,2.0,0.0,2.0,16.0,30.5,11.0,2.0,6.0,0.0,0.1,2. Media Alta,3.5144578828587036,2.7233704205316123,1.9351394141781617,Bogotá
